ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual
2023,SE,2800308,Aracaju,municipal,fundamental,iniciais (1-5),98.8,0.987532,201.83,192.01,5.306861,5.2,,5
2023,SE,2802700,Ilha das Flores,municipal,fundamental,iniciais (1-5),96.9,0.966256,199.84,190.59,5.243066,5.1,,8
2023,SE,2807303,Telha,municipal,fundamental,iniciais (1-5),93.2,0.937276,208.39,192.13,5.434234,5.1,,8
2023,SE,2800100,Amparo de São Francisco,municipal,fundamental,iniciais (1-5),86.2,0.875044,208.02,206.96,5.696809,5.0,,10
2023,SE,2802502,General Maynard,municipal,fundamental,iniciais (1-5),99.4,0.995935,193.22,184.52,5.006366,5.0,,10
2023,SE,2801108,Canhoba,municipal,fundamental,iniciais (1-5),89.2,0.900533,214.62,188.99,5.496036,4.9,,12
2023,SE,2807501,Tomar do Geru,municipal,fundamental,iniciais (1-5),97.6,0.976413,197.83,182.56,5.058707,4.9,,12
2023,SE,2800605,Barra dos Coqueiros,municipal,fundamental,iniciais (1-5),93.7,0.938261,197.24,188.52,5.155811,4.8,,14
2023,SE,2804805,Nossa Senhora do Socorro,municipal,fundamental,iniciais (1-5),96.3,0.96243,191.24,185.66,4.989307,4.8,,14
2023,SE,2804706,Nossa Senhora de Lourdes,municipal,fundamental,iniciais (1-5),94.2,0.930127,192.03,191.8,5.11602,4.8,,14
2023,SE,2807204,Siriri,municipal,fundamental,iniciais (1-5),90.5,0.905313,199.23,187.82,5.181061,4.7,,17
2023,SE,2803807,Malhada dos Bois,municipal,fundamental,iniciais (1-5),95.1,0.946173,195.38,179.0,4.947224,4.7,,17
2023,SE,2801405,Carira,municipal,fundamental,iniciais (1-5),92.9,0.932484,194.67,186.44,5.068947,4.7,,17
2023,SE,2805208,Pinhão,municipal,fundamental,iniciais (1-5),94.3,0.948993,195.33,180.2,4.968088,4.7,,17
2023,SE,2807600,Umbaúba,municipal,fundamental,iniciais (1-5),90.0,0.903331,199.69,188.81,5.20784,4.7,,17
2023,SE,2806008,Ribeirópolis,municipal,fundamental,iniciais (1-5),94.6,0.947632,194.05,182.48,4.985115,4.7,,17
2023,SE,2806404,Santana do São Francisco,municipal,fundamental,iniciais (1-5),99.6,0.996759,188.95,173.75,4.72906,4.7,,17
