ano,sigla_uf,id_municipio,municipio,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,posicao_estadual,etapa,ranking_seq
2025,SE,2807600,Umbaúba,municipal,fundamental,iniciais (1-5),95.3,0.953057,204.77,200.71,5.52115,5.3,,21,Anos iniciais,28
2025,SE,2801306,Capela,municipal,fundamental,iniciais (1-5),99.6,0.995993,200.75,188.62,5.224614,5.2,,29,Anos iniciais,29
2025,SE,2802205,Feira Nova,municipal,fundamental,iniciais (1-5),93.8,0.940304,209.91,196.78,5.547787,5.2,,29,Anos iniciais,30
2025,SE,2802304,Frei Paulo,municipal,fundamental,iniciais (1-5),89.8,0.887657,212.6,208.78,5.817305,5.2,,29,Anos iniciais,31
2025,SE,2803104,Itabi,municipal,fundamental,iniciais (1-5),96.5,0.966236,206.46,191.02,5.37722,5.2,,29,Anos iniciais,32
2025,SE,2804409,Neópolis,municipal,fundamental,iniciais (1-5),99.8,0.997577,198.92,189.09,5.198236,5.2,,29,Anos iniciais,33
2025,SE,2805703,Propriá,municipal,fundamental,iniciais (1-5),99.9,0.998794,198.78,191.78,5.244473,5.2,,29,Anos iniciais,34
2025,SE,2806206,Salgado,municipal,fundamental,iniciais (1-5),96.9,0.969446,201.67,193.04,5.322535,5.2,,29,Anos iniciais,35
2025,SE,2800506,Areia Branca,municipal,fundamental,iniciais (1-5),92.8,0.929675,207.42,189.03,5.359359,5.0,,36,Anos iniciais,36
2025,SE,2801702,Cristinápolis,municipal,fundamental,iniciais (1-5),96.5,0.96559,199.65,188.97,5.209985,5.0,,36,Anos iniciais,37
2025,SE,2801900,Cumbe,municipal,fundamental,iniciais (1-5),95.3,0.938797,203.25,191.76,5.329415,5.0,,36,Anos iniciais,38
2025,SE,2802908,Itabaiana,municipal,fundamental,iniciais (1-5),94.2,0.939681,202.91,192.76,5.341108,5.0,,36,Anos iniciais,39
2025,SE,2804300,Muribeca,municipal,fundamental,iniciais (1-5),98.0,0.980707,200.65,184.22,5.142706,5.0,,36,Anos iniciais,40
2025,SE,2806008,Ribeirópolis,municipal,fundamental,iniciais (1-5),96.3,0.964473,194.96,189.63,5.132482,5.0,,36,Anos iniciais,41
2025,SE,2807105,Simão Dias,municipal,fundamental,iniciais (1-5),97.7,0.97565,192.4,192.27,5.131627,5.0,,36,Anos iniciais,42
2025,SE,2801504,Carmópolis,municipal,fundamental,iniciais (1-5),95.0,0.952692,192.57,190.92,5.110325,4.9,,43,Anos iniciais,43
2025,SE,2803203,Itaporanga d'Ajuda,municipal,fundamental,iniciais (1-5),97.1,0.971128,192.05,185.08,4.99422,4.9,,43,Anos iniciais,44
2025,SE,2803500,Lagarto,municipal,fundamental,iniciais (1-5),95.7,0.956921,196.74,189.43,5.162815,4.9,,43,Anos iniciais,45
2025,SE,2804607,Nossa Senhora das Dores,municipal,fundamental,iniciais (1-5),93.5,0.931664,195.86,193.78,5.225112,4.9,,43,Anos iniciais,46
2025,SE,2805307,Pirambu,municipal,fundamental,iniciais (1-5),91.2,0.911324,197.13,201.58,5.391167,4.9,,43,Anos iniciais,47
2025,SE,2806404,Santana do São Francisco,municipal,fundamental,iniciais (1-5),100.0,1.0,191.64,182.71,4.943305,4.9,,43,Anos iniciais,48
2025,SE,2802007,Divina Pastora,municipal,fundamental,iniciais (1-5),97.8,0.979099,191.28,183.49,4.950616,4.8,,49,Anos iniciais,49
2025,SE,2802106,Estância,municipal,fundamental,iniciais (1-5),96.6,0.965749,190.45,183.02,4.926231,4.8,,49,Anos iniciais,50
